Month,Commodity Index
Dec-2020,71.4
Jan-2021,74.5
Feb-2021,75.5
Mar-2021,77.6
Apr-2021,80.5
May-2021,85.2
Jun-2021,91.6
Jul-2021,96.4
Aug-2021,89.8
Sep-2021,83.1
Oct-2021,85.1
Nov-2021,89.2
Dec-2021,91.4
Jan-2022,97.9
Feb-2022,103.8
Mar-2022,109.7
Apr-2022,118.0
May-2022,117.7
Jun-2022,118.0
Jul-2022,114.8
Aug-2022,109.3
Sep-2022,114.8
Oct-2022,116.9
Nov-2022,109.6
Dec-2022,107.9
Jan-2023,108.5
Feb-2023,107.6
Mar-2023,106.2
Apr-2023,
May-2023,
Jun-2023,
