E2 HOUSEHOLD FINANCES – SELECTED RATIOS,,,,,,,,,,,,,,,,,,
Title,Household debt to assets,Housing debt to housing assets,Household debt to income,Housing debt to income,Owner-occupier housing debt to income,Household assets to income,Housing assets to income,Household financial assets to income,,,,,,,,,,
Description,Ratio of household debt to household assets,Ratio of housing debt to housing assets,Ratio of household debt to annualised household disposable income ,Ratio of housing debt to annualised household disposable income ,Ratio of owner-occupier housing debt to annualised household disposable income ,Ratio of total household assets to annualised household disposable income,Ratio of housing assets to annualised household disposable income,Ratio of financial assets to annualised household disposable income,,,,,,,,,,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,,,,,,,,,,
Type,Original,Original,Original,Original,Seasonally adjusted,Original,Original,Original,,,,,,,,,,
Units,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source,ABS,ABS,ABS,ABS,RBA,ABS,ABS,ABS,,,,,,,,,,
Publication date,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,,,,,,,,,,
Series ID,BHFDA,BHFHDHA,BHFDDIT,BHFDDIH,BHFDDIO,BHFADIT,BHFHDI,BHFADIFA,,,,,,,,,,
Jun-1990,13.4,11.5,69.0,31.6,25.9,513.5,274.2,196.7,,,,,,,,,,
Sep-1990,13.3,11.7,66.8,31.4,25.8,503.8,268.5,192.8,,,,,,,,,,
Dec-1990,13.4,11.9,67.2,31.9,26.2,499.9,267.2,190.0,,,,,,,,,,
Mar-1991,13.3,11.9,68.2,32.4,26.7,511.5,272.9,195.3,,,,,,,,,,
Jun-1991,13.3,12.1,69.0,33.2,27.2,517.6,275.2,198.6,,,,,,,,,,
Sep-1991,13.2,12.1,69.4,33.9,27.6,527.4,281.1,202.1,,,,,,,,,,
Dec-1991,13.3,12.3,71.2,35.0,28.7,536.9,284.3,207.7,,,,,,,,,,
Mar-1992,13.4,12.6,71.3,35.2,29.2,531.5,279.3,207.0,,,,,,,,,,
Jun-1992,13.3,12.7,71.8,35.9,29.6,538.3,283.2,209.6,,,,,,,,,,
Sep-1992,13.5,12.8,73.0,36.6,30.4,541.2,285.0,210.4,,,,,,,,,,
Dec-1992,13.2,13.0,72.1,37.4,31.3,544.2,286.7,211.6,,,,,,,,,,
Mar-1993,13.1,13.5,71.6,38.4,32.2,546.1,283.5,216.3,,,,,,,,,,
Jun-1993,13.5,13.8,74.6,39.5,33.2,552.3,286.7,219.1,,,,,,,,,,
Sep-1993,13.3,14.1,74.8,40.9,34.3,562.5,289.7,225.9,,,,,,,,,,
Dec-1993,13.2,14.4,76.2,42.6,35.4,575.8,295.9,232.7,,,,,,,,,,
Mar-1994,13.3,14.5,77.1,44.0,36.6,580.9,303.4,230.3,,,,,,,,,,
Jun-1994,13.8,15.0,79.9,45.6,38.0,577.9,303.3,227.5,,,,,,,,,,
Sep-1994,14.0,15.4,81.4,47.1,39.0,579.5,305.4,227.0,,,,,,,,,,
Dec-1994,14.4,15.9,82.3,48.3,39.5,572.2,303.3,222.1,,,,,,,,,,
Mar-1995,14.6,16.5,82.6,49.1,40.0,565.9,298.0,221.3,,,,,,,,,,
Jun-1995,14.5,16.6,83.0,49.7,40.3,571.2,298.7,226.1,,,,,,,,,,
Sep-1995,14.9,17.1,84.1,49.9,40.5,566.0,291.8,228.1,,,,,,,,,,
Dec-1995,15.3,17.7,86.2,50.8,41.1,561.7,287.6,228.5,,,,,,,,,,
Mar-1996,15.5,17.8,87.2,51.4,41.6,561.4,288.4,227.9,,,,,,,,,,
Jun-1996,15.7,17.9,88.2,52.0,41.9,563.1,290.7,227.9,,,,,,,,,,
Sep-1996,15.7,17.9,88.6,51.9,42.3,564.2,289.6,230.7,,,,,,,,,,
Dec-1996,15.5,17.7,89.4,53.1,42.5,578.8,300.9,234.6,,,,,,,,,,
Mar-1997,15.6,17.8,89.9,53.7,42.7,578.1,301.3,233.9,,,,,,,,,,
Jun-1997,15.4,17.7,91.5,54.8,43.3,593.0,308.8,241.6,,,,,,,,,,
Sep-1997,15.4,17.6,93.4,55.7,44.0,604.9,316.5,246.0,,,,,,,,,,
Dec-1997,16.2,18.2,96.9,56.6,44.4,599.7,310.9,246.5,,,,,,,,,,
Mar-1998,16.3,18.7,98.1,58.2,45.0,602.8,311.5,249.0,,,,,,,,,,
Jun-1998,16.5,18.7,101.6,59.5,46.1,614.7,317.7,254.5,,,,,,,,,,
Sep-1998,16.5,18.8,102.5,60.5,46.3,621.6,322.3,256.9,,,,,,,,,,
Dec-1998,16.6,19.1,105.2,62.2,47.1,633.3,325.2,265.7,,,,,,,,,,
Mar-1999,16.4,18.7,106.2,63.0,47.5,648.3,336.7,269.0,,,,,,,,,,
Jun-1999,16.7,19.3,108.3,64.5,47.5,646.7,334.3,270.1,,,,,,,,,,
Sep-1999,16.6,19.0,109.0,65.9,48.5,657.8,346.1,269.6,,,,,,,,,,
Dec-1999,16.3,18.9,110.6,67.0,48.7,676.2,354.6,279.9,,,,,,,,,,
Mar-2000,16.6,19.4,110.9,67.7,49.2,668.9,348.7,278.9,,,,,,,,,,
Jun-2000,17.1,20.0,114.9,69.8,50.1,673.6,349.1,283.0,,,,,,,,,,
Sep-2000,17.2,20.6,113.7,70.7,49.4,660.4,342.6,277.0,,,,,,,,,,
Dec-2000,17.5,21.0,114.6,71.3,49.5,655.4,339.9,274.9,,,,,,,,,,
Mar-2001,17.4,20.5,115.1,71.9,50.0,663.1,351.0,271.7,,,,,,,,,,
Jun-2001,17.1,20.6,115.0,73.0,50.5,672.5,354.2,278.1,,,,,,,,,,
Sep-2001,17.1,20.1,117.0,74.9,52.4,682.4,372.3,269.6,,,,,,,,,,
Dec-2001,17.3,20.9,118.3,76.9,54.3,684.9,368.5,276.2,,,,,,,,,,
Mar-2002,17.3,21.1,119.6,78.7,56.0,690.2,373.0,277.1,,,,,,,,,,
Jun-2002,17.7,20.8,125.1,81.1,57.8,707.2,390.0,277.0,,,,,,,,,,
Sep-2002,18.0,20.7,130.2,84.6,59.8,723.6,409.0,274.1,,,,,,,,,,
Dec-2002,18.2,21.2,133.3,87.1,61.1,733.9,411.4,281.7,,,,,,,,,,
Mar-2003,18.4,21.1,137.1,89.5,62.2,744.7,424.3,279.5,,,,,,,,,,
Jun-2003,18.2,21.1,139.8,92.5,63.3,767.0,439.3,287.1,,,,,,,,,,
Sep-2003,18.0,21.0,142.0,95.6,64.8,787.8,454.5,293.0,,,,,,,,,,
Dec-2003,18.1,21.3,145.0,98.6,66.5,801.1,463.0,298.3,,,,,,,,,,
Mar-2004,18.3,21.8,146.9,101.1,68.3,804.0,463.5,301.2,,,,,,,,,,
Jun-2004,18.6,22.5,149.0,102.5,69.1,801.2,456.2,306.4,,,,,,,,,,
Sep-2004,18.7,22.7,150.6,103.6,70.3,803.6,457.2,308.3,,,,,,,,,,
Dec-2004,18.7,22.8,151.1,104.6,71.5,808.9,457.7,313.6,,,,,,,,,,
Mar-2005,18.8,22.9,152.0,104.4,72.4,807.6,455.0,315.2,,,,,,,,,,
Jun-2005,19.2,23.6,154.9,106.5,73.5,807.1,452.2,317.9,,,,,,,,,,
Sep-2005,19.1,23.8,154.8,106.7,74.2,811.4,448.3,326.3,,,,,,,,,,
Dec-2005,19.1,24.1,157.4,108.9,75.7,822.8,452.7,333.4,,,,,,,,,,
Mar-2006,18.9,23.7,158.6,109.3,77.0,838.7,460.9,341.2,,,,,,,,,,
Jun-2006,19.2,24.0,163.3,112.8,78.6,850.2,470.6,342.9,,,,,,,,,,
Sep-2006,19.2,24.1,164.1,113.3,79.7,853.2,470.7,346.0,,,,,,,,,,
Dec-2006,19.1,24.0,164.4,113.3,79.4,860.7,471.6,353.0,,,,,,,,,,
Mar-2007,18.9,23.7,163.2,112.3,79.5,862.3,473.7,353.0,,,,,,,,,,
Jun-2007,19.2,24.0,166.1,113.4,79.4,864.8,473.1,356.7,,,,,,,,,,
Sep-2007,18.8,23.4,164.5,113.0,79.5,875.8,482.1,358.9,,,,,,,,,,
Dec-2007,18.9,23.5,164.8,113.5,79.8,869.8,483.0,352.3,,,,,,,,,,
Mar-2008,19.7,24.2,163.9,113.2,80.1,830.3,468.0,328.2,,,,,,,,,,
Jun-2008,20.4,25.4,164.5,114.5,80.2,805.4,450.6,321.0,,,,,,,,,,
Sep-2008,21.0,26.3,163.2,113.8,79.9,776.4,433.2,309.9,,,,,,,,,,
Dec-2008,22.2,28.4,160.3,112.6,79.3,720.8,396.6,291.5,,,,,,,,,,
Mar-2009,22.5,28.8,159.3,113.1,79.6,709.5,392.4,284.5,,,,,,,,,,
Jun-2009,21.8,28.3,160.0,114.2,80.0,732.8,403.7,296.8,,,,,,,,,,
Sep-2009,21.1,27.2,162.5,115.5,81.0,770.0,424.5,313.2,,,,,,,,,,
Dec-2009,20.3,25.9,164.3,118.0,82.5,807.5,455.9,319.1,,,,,,,,,,
Mar-2010,20.0,25.2,164.6,118.9,83.3,823.4,471.5,319.5,,,,,,,,,,
Jun-2010,20.7,26.0,166.4,120.4,83.8,805.2,463.2,309.7,,,,,,,,,,
Sep-2010,20.6,26.3,165.1,120.0,83.5,800.9,456.3,312.8,,,,,,,,,,
Dec-2010,20.7,26.7,164.4,119.7,83.0,793.4,448.8,313.3,,,,,,,,,,
Mar-2011,21.0,27.2,163.6,119.3,82.3,778.2,437.9,309.5,,,,,,,,,,
Jun-2011,21.4,27.5,163.2,118.4,81.9,762.6,430.2,302.2,,,,,,,,,,
Sep-2011,22.1,28.9,161.5,118.1,81.5,729.3,409.4,290.0,,,,,,,,,,
Dec-2011,22.3,29.3,160.8,117.8,81.4,721.5,402.3,289.6,,,,,,,,,,
Mar-2012,22.2,29.4,161.0,118.1,81.5,726.6,401.3,295.8,,,,,,,,,,
Jun-2012,22.0,29.7,161.7,118.7,81.3,735.7,400.0,306.3,,,,,,,,,,
Sep-2012,21.9,30.1,162.0,119.6,81.7,740.5,397.5,313.5,,,,,,,,,,
Dec-2012,21.5,29.6,162.7,120.2,82.0,756.1,406.1,320.3,,,,,,,,,,
Mar-2013,21.3,29.5,162.9,120.6,82.3,765.7,408.5,327.5,,,,,,,,,,
Jun-2013,21.6,29.5,165.4,122.4,82.9,765.8,414.3,321.8,,,,,,,,,,
Sep-2013,21.2,29.0,165.0,121.2,82.9,778.8,418.0,331.2,,,,,,,,,,
Dec-2013,20.9,28.5,166.5,122.5,83.0,794.8,429.4,336.0,,,,,,,,,,
Mar-2014,20.8,28.4,166.6,122.7,83.2,800.5,431.8,339.2,,,,,,,,,,
Jun-2014,20.9,28.5,167.6,123.7,83.3,803.2,434.5,339.4,,,,,,,,,,
Sep-2014,20.7,28.4,167.8,124.1,83.4,809.1,436.3,343.4,,,,,,,,,,
Dec-2014,20.4,28.0,168.5,124.9,83.7,824.9,446.1,349.3,,,,,,,,,,
Mar-2015,20.2,27.8,169.8,126.0,84.3,842.7,452.8,360.2,,,,,,,,,,
Jun-2015,20.1,27.3,172.2,127.7,85.0,857.0,468.5,358.7,,,,,,,,,,
Sep-2015,20.1,27.0,173.4,128.6,86.2,863.2,475.9,357.1,,,,,,,,,,
Dec-2015,20.0,27.2,174.9,130.2,88.1,875.1,478.1,366.5,,,,,,,,,,
Mar-2016,20.2,27.6,176.4,131.7,89.4,872.3,476.5,365.0,,,,,,,,,,
Jun-2016,20.0,27.5,179.3,133.8,90.8,895.7,485.8,379.0,,,,,,,,,,
Sep-2016,19.8,27.4,181.1,135.1,92.0,912.9,493.7,388.2,,,,,,,,,,
Dec-2016,19.4,26.6,181.9,136.0,93.1,935.8,511.2,393.6,,,,,,,,,,
Mar-2017,19.3,26.3,183.0,136.9,94.5,949.5,520.1,398.4,,,,,,,,,,
Jun-2017,19.3,26.1,185.4,138.7,95.9,959.2,530.5,397.9,,,,,,,,,,
Sep-2017,19.5,26.4,186.5,139.6,97.3,957.5,528.1,398.6,,,,,,,,,,
Dec-2017,19.2,26.2,187.4,140.6,98.1,973.6,536.2,406.6,,,,,,,,,,
Mar-2018,19.5,26.5,188.2,141.0,98.8,965.5,532.1,402.6,,,,,,,,,,
Jun-2018,19.6,27.0,188.7,141.5,99.4,964.6,524.0,409.9,,,,,,,,,,
Sep-2018,19.6,27.5,188.0,141.2,99.8,957.6,513.7,413.3,,,,,,,,,,
Dec-2018,20.2,28.1,188.6,141.2,99.9,934.0,503.3,400.2,,,,,,,,,,
Mar-2019,20.2,28.8,188.3,140.9,99.8,930.4,488.5,411.4,,,,,,,,,,
Jun-2019,19.8,28.9,188.0,141.4,99.7,948.5,489.4,428.5,,,,,,,,,,
Sep-2019,19.3,28.1,186.3,140.4,99.5,963.8,500.5,432.7,,,,,,,,,,
Dec-2019,19.0,27.5,186.8,141.2,100.0,980.7,513.2,436.8,,,,,,,,,,
Mar-2020,19.6,27.3,186.7,140.9,100.4,955.0,516.4,407.7,,,,,,,,,,
Jun-2020,19.2,27.6,184.5,139.9,100.6,958.8,506.9,421.0,,,,,,,,,,
Sep-2020,18.8,26.9,181.5,138.3,100.7,967.4,514.4,422.1,,,,,,,,,,
Dec-2020,18.0,25.8,180.8,138.2,101.4,1002.0,535.1,435.8,,,,,,,,,,
Mar-2021,17.5,24.6,180.4,138.0,102.5,1030.6,561.0,438.1,,,,,,,,,,
Jun-2021,17.1,23.8,183.2,140.1,104.3,1069.6,588.5,449.1,,,,,,,,,,
Sep-2021,16.7,22.7,186.1,142.3,105.7,1116.1,625.9,457.8,,,,,,,,,,
Dec-2021,16.3,21.9,188.0,143.8,107.2,1153.7,656.6,464.3,,,,,,,,,,
Mar-2022,16.4,21.9,188.6,144.7,108.2,1152.8,660.9,458.8,,,,,,,,,,
Jun-2022,16.8,21.9,189.2,145.4,108.7,1127.7,664.9,429.6,,,,,,,,,,
Sep-2022,17.3,23.3,188.3,145.4,109.1,1085.2,624.0,427.7,,,,,,,,,,
Dec-2022,17.6,24.2,187.8,144.8,108.8,1065.4,597.8,433.9,,,,,,,,,,
Mar-2023,,,,,,,,,,,,,,,,,,
Jun-2023,,,,,,,,,,,,,,,,,,
Sep-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
