Source,ABS / RBA,ABS / RBA,RBA,RBA,ABS / RBA,RBA,ABS / RBA,RBA,ABS / RBA,ABS / RBA,ABS / RBA,ABS / RBA,RBA,RBA,RBA,RBA,RBA,RBA,ABS / RBA,ABS / RBA,
Publication date,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,
Series ID,GCPIAG,GCPIAGYP,GCPIEITCYP,GCPIXVIYP,GCPITIYP,GCPITXVIYP,GCPINTIYP,GCPINTXDLYP,GCPIOCPMWMYP,GCPIOCPMTMYP,GCPIAGQP,GCPIAGSAQP,GCPIEITCQP,GCPIXVIQP,GCPITIQP,GCPITXVIQP,GCPINTIQP,GCPINTXDLQP,GCPIOCPMWMQP,GCPIOCPMTMQP,
Jun-2015,107.5 ,1.5 ,1.5 ,2.0 ,-0.3 ,-0.2 ,2.6 ,2.6 ,2.3 ,2.2 ,0.7 ,0.8 ,0.8 ,0.5 ,1.2 ,-0.1 ,0.6 ,0.6 ,0.5 ,0.6 ,
Sep-2015,108.0 ,1.5 ,1.5 ,2.1 ,-0.3 ,0.2 ,2.6 ,2.6 ,2.2 ,2.1 ,0.5 ,0.1 ,0.1 ,0.3 ,-0.2 ,-0.1 ,0.3 ,0.3 ,0.5 ,0.3 ,
Dec-2015,108.4 ,1.7 ,1.7 ,2.1 ,0.8 ,0.8 ,2.3 ,2.3 ,2.0 ,2.1 ,0.4 ,0.5 ,0.5 ,0.6 ,0.3 ,0.6 ,0.4 ,0.4 ,0.4 ,0.6 ,
Mar-2016,108.2 ,1.3 ,1.3 ,1.7 ,0.6 ,0.5 ,1.7 ,1.7 ,1.5 ,1.7 ,-0.2 ,-0.1 ,-0.1 ,0.3 ,-0.7 ,0.0 ,0.4 ,0.4 ,0.1 ,0.2 ,
Jun-2016,108.6 ,1.0 ,1.0 ,1.6 ,0.0 ,0.1 ,1.6 ,1.6 ,1.3 ,1.6 ,0.4 ,0.6 ,0.6 ,0.4 ,0.6 ,-0.3 ,0.5 ,0.5 ,0.3 ,0.5 ,
Sep-2016,109.4 ,1.3 ,1.3 ,1.7 ,0.7 ,0.0 ,1.7 ,1.7 ,1.1 ,1.6 ,0.7 ,0.5 ,0.5 ,0.3 ,0.5 ,-0.2 ,0.4 ,0.4 ,0.3 ,0.3 ,
Dec-2016,110.0 ,1.5 ,1.5 ,1.3 ,0.1 ,-1.2 ,2.1 ,2.1 ,1.2 ,1.5 ,0.5 ,0.5 ,0.5 ,0.3 ,0.2 ,-0.6 ,0.7 ,0.7 ,0.4 ,0.4 ,
Mar-2017,110.5 ,2.1 ,2.1 ,1.5 ,1.3 ,-1.3 ,2.6 ,2.6 ,1.6 ,1.7 ,0.5 ,0.6 ,0.6 ,0.4 ,0.2 ,-0.1 ,0.8 ,0.8 ,0.5 ,0.5 ,
Jun-2017,110.7 ,1.9 ,1.9 ,1.5 ,0.4 ,-1.1 ,2.7 ,2.7 ,1.9 ,1.7 ,0.2 ,0.4 ,0.4 ,0.5 ,-0.3 ,-0.1 ,0.7 ,0.7 ,0.6 ,0.5 ,
Sep-2017,111.4 ,1.8 ,1.8 ,1.9 ,-0.9 ,-1.0 ,3.2 ,3.2 ,2.0 ,1.7 ,0.6 ,0.4 ,0.4 ,0.6 ,-1.0 ,-0.1 ,1.1 ,1.1 ,0.4 ,0.4 ,
Dec-2017,112.1 ,1.9 ,1.9 ,1.9 ,-0.3 ,-1.0 ,3.1 ,3.1 ,2.0 ,1.7 ,0.6 ,0.7 ,0.7 ,0.2 ,0.8 ,-0.4 ,0.5 ,0.5 ,0.5 ,0.3 ,
Mar-2018,112.6 ,1.9 ,1.9 ,2.0 ,-0.5 ,-0.9 ,3.1 ,3.1 ,2.0 ,1.7 ,0.4 ,0.5 ,0.5 ,0.5 ,0.1 ,0.0 ,0.8 ,0.8 ,0.5 ,0.5 ,
Jun-2018,113.0 ,2.1 ,2.1 ,1.8 ,0.3 ,-1.0 ,3.0 ,3.0 ,1.9 ,1.7 ,0.4 ,0.4 ,0.4 ,0.3 ,0.3 ,-0.2 ,0.6 ,0.6 ,0.5 ,0.4 ,
Sep-2018,113.5 ,1.9 ,1.9 ,1.2 ,1.4 ,-0.8 ,2.2 ,2.2 ,1.9 ,1.7 ,0.4 ,0.3 ,0.3 ,0.2 ,0.3 ,-0.1 ,0.3 ,0.3 ,0.4 ,0.4 ,
Dec-2018,114.1 ,1.8 ,1.8 ,1.6 ,0.6 ,-0.1 ,2.4 ,2.4 ,1.8 ,1.8 ,0.5 ,0.4 ,0.4 ,0.5 ,0.0 ,0.3 ,0.6 ,0.6 ,0.4 ,0.4 ,
Mar-2019,114.1 ,1.3 ,1.3 ,1.3 ,0.4 ,0.3 ,1.8 ,1.8 ,1.5 ,1.6 ,0.0 ,0.1 ,0.1 ,0.3 ,-0.2 ,0.4 ,0.3 ,0.3 ,0.2 ,0.3 ,
Jun-2019,114.8 ,1.6 ,1.6 ,1.5 ,1.1 ,1.0 ,1.8 ,1.8 ,1.3 ,1.5 ,0.6 ,0.8 ,0.8 ,0.5 ,1.1 ,0.4 ,0.5 ,0.5 ,0.4 ,0.4 ,
Sep-2019,115.4 ,1.7 ,1.7 ,1.9 ,1.2 ,1.8 ,1.9 ,1.9 ,1.3 ,1.5 ,0.5 ,0.3 ,0.3 ,0.6 ,0.2 ,0.7 ,0.5 ,0.5 ,0.3 ,0.4 ,
Dec-2019,116.2 ,1.8 ,1.8 ,1.7 ,1.7 ,1.3 ,2.0 ,2.0 ,1.3 ,1.5 ,0.7 ,0.6 ,0.6 ,0.3 ,0.6 ,-0.3 ,0.7 ,0.7 ,0.4 ,0.4 ,
Mar-2020,116.6 ,2.2 ,2.2 ,2.1 ,2.1 ,1.6 ,2.3 ,2.3 ,1.6 ,1.7 ,0.3 ,0.5 ,0.5 ,0.7 ,0.2 ,0.8 ,0.6 ,0.6 ,0.6 ,0.5 ,
Jun-2020,114.4 ,-0.3 ,-0.3 ,0.4 ,-0.5 ,1.8 ,-0.2 ,-0.2 ,1.4 ,1.2 ,-1.9 ,-1.8 ,-1.8 ,-1.2 ,-1.5 ,0.6 ,-1.9 ,-1.9 ,0.1 ,0.0 ,
Sep-2020,116.2 ,0.7 ,0.7 ,0.9 ,0.0 ,1.1 ,1.0 ,1.0 ,1.3 ,1.1 ,1.6 ,1.4 ,1.4 ,1.2 ,0.9 ,0.0 ,1.6 ,1.6 ,0.2 ,0.3 ,
Dec-2020,117.2 ,0.9 ,0.9 ,1.5 ,-0.6 ,1.4 ,1.5 ,1.5 ,1.4 ,1.2 ,0.9 ,0.8 ,0.8 ,0.8 ,-0.1 ,-0.1 ,1.2 ,1.2 ,0.5 ,0.5 ,
Mar-2021,117.9 ,1.1 ,1.1 ,1.4 ,0.7 ,1.4 ,1.3 ,1.3 ,1.2 ,1.1 ,0.6 ,0.6 ,0.6 ,0.4 ,1.1 ,0.5 ,0.4 ,0.4 ,0.4 ,0.4 ,
Jun-2021,118.8 ,3.8 ,3.8 ,3.1 ,3.6 ,1.2 ,4.0 ,4.0 ,1.5 ,1.6 ,0.8 ,0.8 ,0.8 ,0.5 ,1.3 ,0.3 ,0.6 ,0.6 ,0.4 ,0.4 ,
Sep-2021,119.7 ,3.0 ,3.0 ,2.5 ,3.1 ,0.8 ,3.2 ,3.2 ,2.1 ,2.1 ,0.8 ,0.8 ,0.8 ,0.7 ,0.8 ,0.1 ,0.9 ,0.9 ,0.7 ,0.8 ,
Dec-2021,121.3 ,3.5 ,3.5 ,2.6 ,4.9 ,2.2 ,2.8 ,2.8 ,2.4 ,2.6 ,1.3 ,1.3 ,1.3 ,1.1 ,1.7 ,1.2 ,1.1 ,1.1 ,0.8 ,1.0 ,
Mar-2022,123.9 ,5.1 ,5.1 ,4.0 ,6.8 ,3.6 ,4.2 ,4.2 ,3.2 ,3.8 ,2.1 ,2.1 ,2.1 ,1.8 ,3.0 ,2.0 ,1.7 ,1.7 ,1.2 ,1.6 ,
Jun-2022,126.1 ,6.1 ,6.1 ,5.3 ,8.0 ,5.1 ,5.3 ,5.3 ,4.2 ,5.0 ,1.8 ,1.8 ,1.8 ,1.6 ,2.3 ,1.8 ,1.6 ,1.6 ,1.4 ,1.6 ,
Sep-2022,128.4 ,7.3 ,7.3 ,6.7 ,8.7 ,6.9 ,6.5 ,6.5 ,4.9 ,6.1 ,1.8 ,1.9 ,1.9 ,2.0 ,1.4 ,1.8 ,2.0 ,2.0 ,1.4 ,1.9 ,
Dec-2022,130.8 ,7.8 ,7.8 ,7.6 ,8.7 ,8.1 ,7.4 ,7.4 ,5.8 ,6.9 ,1.9 ,1.8 ,1.8 ,2.0 ,1.7 ,2.3 ,1.8 ,1.8 ,1.6 ,1.7 ,
Mar-2023,,,,,,,,,,,,,,,,,,,,,
Jun-2023,,,,,,,,,,,,,,,,,,,,,
Sep-2023,,,,,,,,,,,,,,,,,,,,,
